,0,1,2,3
315,324.0,16.0,18.122376,5.0
316,35.0,31.0,16.600141,0.0
317,67.0,16.0,16.32903,0.0
318,81.0,17.0,11.802776,4.0
319,60.0,21.0,10.81043,0.0
320,46.0,20.0,17.911839,0.0
321,125.0,24.0,13.009404,1.0
322,33.0,20.0,13.939315,0.0
323,67.0,15.0,19.616701,0.0
324,32.0,25.0,13.438097,0.0
325,103.0,23.0,12.431227,4.0
326,41.0,40.0,16.711209,0.0
327,76.0,30.0,13.865597,4.0
328,91.0,13.0,16.484687,4.0
329,66.0,11.0,15.843589,0.0
330,52.0,22.0,16.186888,0.0
331,90.0,16.0,14.472694,4.0
332,68.0,21.0,11.753278,0.0
333,86.0,6.0,20.458265,4.0
334,95.0,9.0,48.281401,4.0
335,50.0,9.0,19.17996,0.0
336,70.0,11.0,9.173167,0.0
337,72.0,11.0,18.059022,4.0
338,76.0,14.0,13.859437,4.0
339,62.0,22.0,15.799458,0.0
340,156.0,17.0,16.222173,1.0
341,186.0,10.0,14.568778,1.0
342,444.0,18.0,17.948398,2.0
343,225.0,13.0,33.942941,5.0
344,163.0,12.0,19.538992,1.0
345,28.0,20.0,13.118971,0.0
346,77.0,36.0,24.061705,4.0
347,38.0,37.0,28.213906,0.0
348,25.0,19.0,15.568862,0.0
349,73.0,17.0,16.808975,4.0
350,207.0,33.0,9.086904,5.0
351,69.0,19.0,19.97749,0.0
352,92.0,24.0,21.141727,4.0
353,60.0,18.0,12.485571,0.0
354,70.0,11.0,11.419892,0.0
355,92.0,16.0,29.016024,4.0
356,28.0,47.0,24.30956,0.0
357,83.0,40.0,11.02759,4.0
358,56.0,7.0,12.28384,0.0
359,70.0,10.0,19.009764,0.0
360,70.0,22.0,13.438931,0.0
361,56.0,12.0,10.971144,0.0
362,96.0,13.0,10.505564,4.0
363,99.0,5.0,11.762817,4.0
364,124.0,12.0,6.15331,1.0
365,43.0,4.0,13.104068,0.0
366,95.0,3.0,9.687646,4.0
367,63.0,16.0,7.165959,0.0
368,132.0,16.0,3.90125,1.0
369,88.0,35.0,11.152797,4.0
370,93.0,4.0,4.332683,4.0
